2606141103_alldets ij = 1184.0,700.0 = ScoX1+   0.5,   0.4 ra,dec = 222.90,-37.59   19.0 σ for 577 s at 24 cps 2 dets
2606150940_alldets ij = 1227.0,668.0 = ScoX1+  -0.2,   0.3 ra,dec = 219.38,-34.92   32.7 σ for 578 s at 65 cps 4 dets
2606151105_alldets ij = 857.0,1241.0 = ScoX1+   1.0,   0.0 ra,dec = 265.65,-28.00    7.5 σ for 252 s at 507 cps 4 dets
2606151116_alldets ij = 1182.0,741.0 = ScoX1+   0.6,   0.4 ra,dec = 224.78,-37.05   31.3 σ for 578 s at 73 cps 4 dets
2606151241_alldets ij = 823.0,1288.0 = ScoX1+   0.7,  -0.0 ra,dec = 268.10,-24.75    5.1 σ for 192 s at 647 cps 3 dets
2606151252_alldets ij = 1141.0,806.0 = ScoX1+   0.3,  -0.1 ra,dec = 230.13,-38.36   31.0 σ for 576 s at 74 cps 4 dets
2606151424_alldets ij = 992.0,1042.0 = ScoX1+   1.2,   0.1 ra,dec = 250.97,-37.20   20.4 σ for 542 s at 128 cps 4 dets
2606151434_alldets ij = 1333.0,521.0 = ScoX1+   0.1,   0.2 ra,dec = 210.27,-28.00   34.0 σ for 515 s at 68 cps 4 dets
2606151654_alldets ij = 1636.0,189.0 = ScoX1+   0.1,   0.1 ra,dec = 282.74,  9.19   16.9 σ for 412 s at 73 cps 3 dets
2606151744_alldets ij = 1187.0,742.0 = ScoX1+  -0.1,  -0.0 ra,dec = 224.55,-36.66   25.9 σ for 547 s at 56 cps 2 dets
2606151924_alldets ij = 1297.0,582.0 = ScoX1+  -0.3,   0.7 ra,dec = 213.47,-30.49   29.7 σ for 546 s at 51 cps 4 dets
2606152024_alldets ij = 983.0,1043.0 = ScoX1+   0.7,  -0.5 ra,dec = 263.79, -2.96    7.5 σ for 290 s at 442 cps 4 dets
2606152053_alldets ij = 1054.0,952.0 = ScoX1+   1.1,  -0.3 ra,dec = 242.57,-38.68    7.2 σ for 460 s at 266 cps 4 dets
2606152054_alldets ij = 1054.0,952.0 = ScoX1+   1.1,  -0.3 ra,dec = 242.57,-38.68    7.2 σ for 461 s at 266 cps 4 dets
2606152103_alldets ij = 1417.0,418.0 = ScoX1+  -0.2,  -0.1 ra,dec = 205.73,-21.61   14.8 σ for 552 s at 56 cps 4 dets
2606152233_alldets ij = 1154.0,800.0 = ScoX1+  -0.1,   0.6 ra,dec = 228.94,-37.68   26.8 σ for 547 s at 51 cps 4 dets
2606161129_alldets ij = 1180.0,782.0 = ScoX1+   0.8,   0.4 ra,dec = 226.66,-36.47   38.7 σ for 576 s at 124 cps 4 dets
